index,domain,platform,ad type,tag name,xpath,ad addr 1*/ all links from the element's children***,ad addr 2*,ad addr 3*,ad addr 4*,ad addr 5*,ad addr 6*,ad network 1',ad network 2',ad network 3'
25131,celebsnudeworld.com,mobile,30%,img,/html[1]/body[1]/div[2]/div[4]/div[2]/div[4]/iframe[1]/html[1]/body[1]/a[1]/img[1],https://syndication.exosrv.com/ads-iframe-display.php?idzone=502761&type=300x250&p=https%3A//celebsnudeworld.com/&dt=1583188169895&sub=&tags=&screen_resolution=360x640&el=,https://main.exosrv.com/click.php?data=H4sIAAAAAAAAA21STW_jIBD9K7nkGGsA87W3SrtVpKZJ2iTE2ssKA1aiJsbBTptG_PjFdveyqkBi3uPxBoaZRMIkE4Ai4pmg8dB1TTslD1P8mObxhJDMjD.nmGBKAFk7k5KiWa61m5UE6IxLBFJzoU2Op.SxDWZKfrqbn2Jm9Lk52gS_ciTq7ms3UBQwZz3zrsOokZQTQXmiWn8NxiXOuJMr2_pq3YcPJzvehLXHbvRAQjIgQ6Luy1QkVPlw1l1vCXDDFBL15j6TQy9JoNR17cIYG9_2SsgAAHFBE9UFbd6Gfe_tazm3ar5Wr3NlcmqI2tyxuq_89dL67tLaJ3bcq53chUtTFts9XtV2.czOBwhNsdur7epyrrvgO6uWy0WxNkzBvSk211M6.bsXbVd2a9dqHRZ2UYTle626HtwWqii6eluH5oMpfP2Ds8PLHJPNrxqD8xXZqc9LaE69YXJRqHfM1.0sxggxIioIEgJxFL.pYSQikzRLH5pRGeO_ysfxT9IikoPgEUeEkltOkmYsZUx9kjoGbixPWQinKOYSU2xAAjPIaWp7UAFlzOpcm7KKvcV3l4BhTIaO.zH5TzFJikkczo6DIiwYEUOEgGE5PBRDHHYZG5Y8rp5iXhpRGms5FVUJhBPMicHYsYpbgRH8BezMww_zAgAA,https://static.exosrv.com/library/300074/428f62d31a5d27b624281461930f933dbe4b4270.gif,,,,ExoClick,,
30568,mymusclevideo.com,desktop,30%,img,/html[1]/body[1]/div[2]/div[3]/div[2]/div[1]/div[1]/iframe[1]/html[1]/body[1]/a[1]/img[1],https://trafficboro.com/openx/www/delivery/afr.php?resize=1&campaignid=12&target=_blank,https://trafficboro.com/openx/www/delivery/ck.php?oaparams=2__bannerid=757__zoneid=0__cb=74f83f8033__oadest=http%3A%2F%2Fchaturbate.com%2Faffiliates%2Fin%2F%3Ftrack%3Ddefault%26tour%3D9rL0%26campaign%3D5TLTW,https://trafficboro.com/openx/www/images/eb2adfc91f141fe0aadf8689d7f710e5.gif,,,,?,,
30568,mymusclevideo.com,desktop,30%,img,/html[1]/body[1]/div[2]/div[4]/div[1]/iframe[1]/html[1]/body[1]/a[1]/img[1],https://trafficboro.com/openx/www/delivery/afr.php?resize=1&campaignid=14&target=_blank,https://trafficboro.com/openx/www/delivery/ck.php?oaparams=2__bannerid=910__zoneid=0__cb=6e89d38ffa__oadest=https%3A%2F%2Fwww.andrewchristian.com%2Fcollections%2Fsports-polyamide-fabric.html%3Fcmid%3DMDoyOjUyOWJiNjNmZjAxNGNmMzY6UVlIQytnb0pJRDJRcmJiRDBEUVUxdz09%26afid%3DMDoyOjQ4NmE2YTY0YTg2MzMxN2Q6SnFlOXZpaUJIWXJTaVJxRWRJZVpudz09%26ats%3DMDoyOmQ3ZDkwYzVmNjM2OTg4ZDQ6SmZuRS84SWhRT3hLeTl2Nm9QN25Ddz09,https://trafficboro.com/openx/www/images/e3bdde31a59cd99c4664adc7c271851c.jpg,,,,?,,
31659,hentaiplay.net,mobile,30%,img,/html[1]/body[1]/div[1]/div[2]/div[1]/div[3]/aside[1]/div[1]/div[3]/div[2]/div[1]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/iframe[1]/html[1]/body[1]/a[1]/img[1],//adserver.juicyads.com/adshow.php?adzone=424383,https://warumbistdusoarm.space/iframe/59ef6ffe18f?iframe&ag_custom_domain=hentaiplay.net,https://spagat.space/redirect/?data=aHR0cHM6Ly9mYXB0aXRhbnMuY29tLz91dG1fY2FtcGFpZ249Ym5fanVpY3lfMzAweDI1MF9oZW50YWlwbGF5Lm5ldCZ1dG1fbWVkaXVtPWNsaWNrJnV0bV9zb3VyY2U9Ym4mdXRtX2NvbnRlbnQ9aGVudGFpcGxheS5uZXQmYm5pZD1mdF8yOF8yNC4wMS4xOF8zMDB4MjUwX2VuI2FkdyM0I2FkdyMxNDgzI2FkdyM2MTgjYWR3IzMyNjg0I2FkdyNoZW50YWlwbGF5Lm5ldCNhZHcjMzY3MzQxI2FkdyMxNDY5MjIx,https://spagat.space/bnr/4/df3/ebfa3c/df3ebfa3ca67acff19e852daf0714b65.gif,,,JUICYADS,,
31659,hentaiplay.net,mobile,30%,img,/html[1]/body[1]/div[1]/div[2]/div[1]/div[3]/aside[1]/div[1]/div[4]/div[2]/div[1]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/div[1]/div[1]/a[1]/img[1],//adserver.juicyads.com/adshow.php?adzone=524635,https://chaturbate.com/affiliates/in/?track=larohentplay&tour=41Ea&campaign=HPR7R&join_overlay=1,https://ads.juicyads.com/ads/user57648/ad1353881-1547674917.jpg,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[1]/div[7]/div[1]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=770505,https://ck.juicyads.com/getjuicy.php?jad=1616589&juser=11210&jfill=36058&jfimg=884925&data=6ac90f1b5a9c8b4a5239a7c6b479d6c2&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=770505&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user143498/36058-1583137718-0399335001583137718.gif,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[1]/div[7]/div[2]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=770506,https://ck.juicyads.com/getjuicy.php?jad=1616590&juser=11210&jfill=36062&jfimg=884929&data=b477804da75516c439fee541da85e703&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=770506&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user143498/36062-1583138153-0481944001583138153.gif,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[1]/div[7]/div[3]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=770507,https://ck.juicyads.com/getjuicy.php?jad=1616591&juser=11210&jfill=663&jfimg=765640&data=ac7f287e9b622b478933051d582a8f2a&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=770507&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user2073/663-1557449751-0884788001557449751.jpg,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[1]/div[11]/div[1]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=770505,https://ck.juicyads.com/getjuicy.php?jad=1616589&juser=11210&jfill=36058&jfimg=884925&data=6ac90f1b5a9c8b4a5239a7c6b479d6c2&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=770505&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user143498/36058-1583137718-0399335001583137718.gif,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[1]/div[11]/div[2]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=770506,https://ck.juicyads.com/getjuicy.php?jad=1616590&juser=11210&jfill=36062&jfimg=884929&data=b477804da75516c439fee541da85e703&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=770506&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user143498/36062-1583138153-0481944001583138153.gif,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[1]/div[11]/div[3]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=770507,https://ck.juicyads.com/getjuicy.php?jad=1616591&juser=11210&jfill=663&jfimg=765640&data=ac7f287e9b622b478933051d582a8f2a&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=770507&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user2073/663-1557449751-0884788001557449751.jpg,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[2]/div[1]/div[1]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=690493,https://ck.juicyads.com/getjuicy.php?jad=1508114&juser=11210&jfill=26352&jfimg=641836&data=5e1a3dafc0eb5085017d80c2636665e4&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=690493&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user500/26352-1524244424.gif,,,,JUICYADS,,
33087,nudecollect.com,mobile,30%,img,/html[1]/body[1]/div[3]/div[1]/div[1]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],https://adserver.juicyads.com/adshow.php?adzone=691239,https://ck.juicyads.com/getjuicy.php?jad=1509030&juser=11210&jfill=92&jfimg=548442&data=510dd9034ea010fa62d93ccf4fad62f8&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v253y264d4f4&pubid=11210&zoneid=691239&jurl=p5y5l4i4m4b424n2p456t424n406j594k5k4c4g4b454t4s2i5m4r5q2,https://ads.juicyads.com/network/user1037/81-1484965686.gif,,,,JUICYADS,,
33199,hamtruyen.com,desktop,pop,div,/html[1]/body[1]/div[4],[[[]]; [['a'; 'https://11bet.win/?utm_source=hamtruyen.com&utm_medium=preload&utm_campaign=jimmy&utm_term=640x480']; ['img'; 'https://1.bp.blogspot.com/-1PycYxQoNYw/Xhw_DkLXqdI/AAAAAAABBiE/0IYoSiZFJEQzgoclTGR15kuh18rkz_dcQCLcBGAsYHQ/s1600/11bet_640x480.gif']]],,,,,,Google Ad,,
33441,javhd4k.net,mobile,30%,img,/html[1]/body[1]/div[6]/div[2]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/center[1]/iframe[1]/html[1]/body[1]/a[1]/img[1],https://syndication.exoclick.com/ads-iframe-display.php?idzone=3041534&type=300x250&p=http%3A//www5.javhd4k.net/&dt=1583189228235&sub=&tags=&screen_resolution=360x640,https://main.exoclick.com/click.php?data=H4sIAAAAAAAAA11STW_iMBD9K7lwJPL423urVHWR6EKVEsNyc.xUUEoSjPko8o9fJ7CHXTlSxu.9eWOPJ4uEKy4RRJA5sLgJoTuOyNMIv6Rv.wWgctvuU0wwIwicGyvFYEyNqccVQWwsFCBlhDSW4hF5OXo7Is_1tR1hbs2.27q0fdRI0K1t6juEKDBCE3Q2_o4oJojkverYnrytE3a5XCD_NOeNo7u8qUPPbcPdQRBBAA9lwgAA6u0.Wr83YaiArpihBO3q70vre0naVKZpan.PbXvslShHCIEElqDgjd0NfNu6opo4PXnTxURbyiwp39FNl.WpPR2ObfB7N.XbpS5V6bvOrBZLPG_c7Bffb5DvVuVSL.aHfRN8G5yezV5Xb5ZrdOtW76evlLnuRYu5q9YLV5y7qlitQ.fPupuF16tu1kWzKFyY_eb6u.wOn_JWQFiIn8_2dpgyrdH3KZlo5A.cJEM7wU_jcYwRxQhMEpAKYxX_b2AkMlcsT2.ZMxXj357Hx3PE1MOUL0XEESB5UZJE90bGNCNpWtCV01SDCAZRCqpIXUnChatszSpw6IMZQQwlyoGIvUU6AvvnCGhYWT9qP7KezR5sltgsDkn3xQBLTuQQAeLpPv39MIoDy_nwo3E.jUCtEYyAYc4aygE5oQyvqeSyxszBH0CMMZToAgAA,https://static.exoclick.com/library/300074/b7f78120aca27f8d187e405b798d181865a38324.jpg,,,,ExoClick,,
35531,hocvientruyentranh.net,desktop,30%,img,/html[1]/body[1]/div[11]/a[1]/img[1],http://bit.ly/hvtt-bongda-float-left,https://2.bp.blogspot.com/-aNB2N0AxgOw/XX9uqqyEH-I/AAAAAAAAnFY/0oPF3kXycCkQ_PXukrs6wRrgP5-MvQOQgCLcBGAsYHQ/s1600/bongda-120x300.gif,,,,,Bitly,Google Ad,
35531,hocvientruyentranh.net,desktop,30%,img,/html[1]/body[1]/div[12]/div[1]/a[1]/img[1],http://bit.ly/hvtt-bongdax-tructiep,https://2.bp.blogspot.com/-G5tLPJRtXBw/XkjaOvIH5lI/AAAAAAAAOfk/6AebrpOMUPgUF_DyfBrkLLx_Cbb-WyL0ACLcBGAsYHQ/s1600/bongda-120x300.gif,,,,,Bitly,Google Ad,
35531,hocvientruyentranh.net,mobile,sticky,div,/html[1]/body[1]/div[5]/div[1],[[[[['a'; '#']]; []; [['a'; '']; ['img'; 'https://2.bp.blogspot.com/-OatgRdjf_EI/XkjaOaA07iI/AAAAAAAAOfg/VXwB8o46liIzm_n-Ltsrw0Qb42KcLPJAwCLcBGAsYHQ/s1600/640x360-jbo.gif']]; []; [['a'; 'https://lixi88.info/reg.shtml?id=2386920']; ['img'; 'https://2.bp.blogspot.com/-9E8n-p8q_lI/XjVIIwiEK-I/AAAAAAAAOdE/9tYTtLJA4ac6BGq1iQbvoEVhoTqwF2cdQCLcBGAsYHQ/s1600/300x250.gif']]; []; []]]],,,,,,Google Ad,,
35531,hocvientruyentranh.net,desktop,sticky,div,/html[1]/body[1]/div[5]/div[1],[[[[['a'; '#']]; []; [['a'; 'https://www.jbo039.com/SQRPlobby.html?aff=J102309&utm_source=hocvientruyentranhpre&utm_medium=banner&utm_campaign=vietnam']; ['img'; 'https://2.bp.blogspot.com/-OatgRdjf_EI/XkjaOaA07iI/AAAAAAAAOfg/VXwB8o46liIzm_n-Ltsrw0Qb42KcLPJAwCLcBGAsYHQ/s1600/640x360-jbo.gif']]; []; [['a'; '']; ['img'; 'https://2.bp.blogspot.com/-9E8n-p8q_lI/XjVIIwiEK-I/AAAAAAAAOdE/9tYTtLJA4ac6BGq1iQbvoEVhoTqwF2cdQCLcBGAsYHQ/s1600/300x250.gif']]; []; []]]],,,,,,Google Ad,,
39564,javdove.com,mobile,30%,img,/html[1]/body[1]/div[9]/div[1]/div[4]/div[1]/div[1]/div[2]/div[1]/iframe[1]/html[1]/body[1]/iframe[1]/html[1]/body[1]/iframe[1]/html[1]/body[1]/iframe[1]/html[1]/body[1]/a[1]/img[1],https://syndication.exosrv.com/ads-iframe-display.php?idzone=3481713&type=300x250&p=https%3A//www.javdove.com/&dt=1583191115047&sub=&tags=&screen_resolution=360x640&el=,https://sumflux.com/fbs/?etype=300x250&dtype=ph&ptype=l&ecache=3481713O751436O3666493O508O1583191116,https://a.exosrv.com/iframe.php?idzone=3548617&size=300x250,https://syndication.exosrv.com/ads-iframe-display.php?idzone=3548617&type=300x250&p=https%3A//cdn.vueher.com/vueher_300x250.html%3F&dt=1583191115914&sub=&tags=&screen_resolution=360x640&el=,https://main.exosrv.com/click.php?data=H4sIAAAAAAAAA01QS24CMQy9ymxYNrJjO5_uuummi54hhAwgAYOaoWLhw9eEVqocKZbfJy.elHwKwqLigh7W9do39Lbx73b25bhrl35qvW9Py97V5WzTtfV1qYfjpfX2cus2UVVQRUmEGRGjft_aoX09.ErJZXFeyElWJQpIkKOScArGFEimTFG9IpoLk5EA7l5A0YoC3AODSpNdZq6csQA6k3HCiB59NLU9rBQFlTFYCsAGIQtUliieGs9AECvwwxG07i7uX0IYNY2vv04GTk9wMvCv_Y1kpPNp0uHyLEHbHqXRIQSfxy4s8EBDGBfr54eWAtSSMItvxc8SoMyFKeMMc6lb_gFW52lliQEAAA--,https://static.exosrv.com/library/168276/8a2c5b4eaa4b7d158c67a63b6c478adec29c60da.gif,ExoClick,,
39564,javdove.com,mobile,30%,img,/html[1]/body[1]/div[9]/div[2]/div[2]/div[2]/iframe[1]/html[1]/body[1]/table[1]/tbody[1]/tr[1]/td[1]/a[1]/img[1],//adserver.juicyads.com/adshow.php?adzone=703693,https://ck.juicyads.com/getjuicy.php?jad=1525266&juser=65830&jfill=36062&jfimg=884929&data=5c95a8896c6994d2f22e87e98822c57a&idty=d2f857b3866994551b89e8218c10b9b8&std2=x223z2y2v263q27474c4&pubid=65830&zoneid=703693&jurl=p5y5l4i4m4b424n2p456t424j4g51684w5r454q294h4m4t2,https://ads.juicyads.com/network/user143498/36062-1583138153-0481944001583138153.gif,,,,JUICYADS,,
43028,asiantube.porn,mobile,30%,img,/html[1]/body[1]/div[2]/div[1]/div[2]/div[4]/iframe[1]/html[1]/body[1]/iframe[1]/html[1]/body[1]/a[1]/img[1],//ads.exosrv.com/iframe.php?idzone=2644060&size=300x250&sub=2,https://syndication.exosrv.com/ads-iframe-display.php?idzone=2644060&type=300x250&p=https%3A//www.asiantube.porn/&dt=1583192869598&sub=2&tags=&screen_resolution=360x640&el=,https://main.exosrv.com/click.php?data=H4sIAAAAAAAAA1VR247aMBD9lbzwuJEv8SV9Q6p2adkCYsGkeamc2ClIua1xgK3m42tnpUrV2BrrzJnjY08CFDOS5cDg7P24oMsFeQ7rfr.nne3PVrf.7Ow4OJ_21oeKC3u8tO1Tp1s7XRf0efLdr1p3o7787hf066fggvCIO9tY56wLeONs1OmHVF8vOtSvFxPgYTD7amXUaqf2K1VnrKYHjNAH_piG9tpP7240a345qWN.dM71hxPZ9mbzg3dn5MbieFKH7XvXezd4ozab12JXc4X.jMXb1IbGMpIOW1O6sqh8UalHX.7Gx77c.NtrVd5uu8f.VqmaG1JaeX_ZjbeXb9.X28G1qjisWWx_m5wLUure_Fw.BePVbLzDXAIAAcBMUpwTKRD8_0igMs1ZShhNWQ5AkSA54xkQnmWII8gDiKUIGhgDgoxGDnoQhgCHoBw9eIYCKBgGUQsuDZes0YJUDRXYWCSFtaShVgb9KBFv7f1U2TS6CECMJI72.iUJQ03.EZJISGDu.gyGieRUzieMOAnmoikEc5XzOWHYroGZusoMzrUmhDUVYxqJ8AEE14LqRrC_obX90lYCAAA-,https://static.exosrv.com/library/164128/cb06f0f89b5451ad770e0ed6384b65ab454eaccb.gif,,,ExoClick,,
43028,asiantube.porn,mobile,30%,img,/html[1]/body[1]/div[2]/div[1]/div[3]/div[3]/div[4]/iframe[1]/html[1]/body[1]/iframe[1]/html[1]/body[1]/a[1]/img[1],//ads.exosrv.com/iframe.php?idzone=2644060&size=300x250&sub=2,https://syndication.exosrv.com/ads-iframe-display.php?idzone=2644060&type=300x250&p=https%3A//www.asiantube.porn/&dt=1583192869609&sub=2&tags=&screen_resolution=360x640&el=,https://main.exosrv.com/click.php?data=H4sIAAAAAAAAAz1R246jMAz9FV76uChXk.xbpdVMdzpTqk6bsrwBAU2lFmjKrSt__AZGWjlSTo7tY8cOkHOpIaJISQjAAfCr69rHiq9X7MWfKnt0rumyrgyL5uaJw_KYnfyluNgV_9U09pBvrNnszWFjCiELfqSEPOmzb9p729_7u93C5WxO.uScq49nFtd29wG3L.La5HQ2x_h.q.cy1ux278m.AEP.tslnf_WJ6Rx0jG3q0iTvktxMdbpvp0O664b3PB2G_XQYclOAZWmpxtd9O7z.flvHjbua5LiVc_pn75yXMmP1Z_1jxaBdGqceZQvqqP8aDB611.yJiAyRSsWpZsrPpnJl2TaubsLsccmQq1DLkEkeSo3IhRRaaokMhCBAUHuSqshrUIoEBfcxhExMEvRjRg5kAkE8GUmKURGBsqBklUUsr3hEbUlUVJas4qXy.rPEXLXu.rwM5y48MVuwLOpnMI5j8D8gmAMCXLK.TVKmgKsFUQLMN.cxCFy8ft_zJTDeohbcAi8gJyKTQlbcVnRppQCISq3_AazvZLgsAgAA,https://static.exosrv.com/library/440191/f0b2a6b39a15d8dbdca14a77eb64ff511f510f36.png,,,ExoClick,,
49232,getsongbpm.com,mobile,sticky,div,/html[1]/body[1]/div[7],[['iframe'; 'about:blank']; [['img'; 'https://storage.googleapis.com/adincube-resources/tag/close_cross.png']]],,,,,,Google Ad,,
